Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,latitude,longitude
"New Beckenham station, London, UK",Bromley,Southeastern,NBC,4,1857,E, _51.4164 ,-0.0348
"New Cross station, London, UK",Lewisham,Southeastern,NWX,2,1850,C, _51.4760 ,-0.0325
"New Cross Gate station, London, UK",Lewisham,London Overground,NXG,2,1839,C, _51.4752 ,-0.0406
"New Eltham station, London, UK",Greenwich,Southeastern,NEH,4,1878,C, _51.4380 ,0.0705
"New Malden station, London, UK",Kingston upon Thames,South Western Railway,NEM,4,1838,C, _51.4039 ,-0.2560
"New Southgate station, London, UK",Barnet,Great Northern,NSG,4,1850,E, _51.6142 ,-0.1432
"Norbiton station, London, UK",Kingston upon Thames,South Western Railway,NBT,5,1869,C, _51.4124 ,-0.2838
"Norbury station, London, UK",Croydon,Southern,NRB,3,1878,C, _51.4114 ,-0.1214
"North Dulwich station, London, UK",Southwark,Southern,NDL,02-Mar,1868,E, _51.4543 ,-0.0887
"Northolt Park station, London, UK",Ealing,Chiltern Railways,NLT,5,1926,E, _51.5574 ,-0.3595
"North Sheen station, London, UK",Richmond upon Thames,South Western Railway,NSH,3,1930,E, _51.4656 ,-0.2865
"Northumberland Park station, London, UK",Haringey,Greater Anglia,NUM,3,1840,E, _51.5986 ,-0.0551
"North Wembley station, London, UK",Brent,London Underground,NWB,4,1912,E, _51.5627 ,-0.3040
"Norwood Junction station, London, UK",Croydon,London Overground,NWD,4,1841,C, _51.3971 ,-0.0749
"Nunhead station, London, UK",Southwark,Southeastern,NHD,2,1865,E, _51.4671 ,-0.0527
"Oakleigh Park station, London, UK",Barnet,Great Northern,OKL,4,1873,D, _51.6379 ,-0.1667
"Ockendon station, London, UK",Thurrockout-boundary,c2c,OCK,G,1892,E, _51.5200 ,0.2900
"Old StreetLondon station, London, UK",Islington,London Underground,OLD,1,1901,E, _51.5258 ,-0.0850
"Orpington station, London, UK",Bromley,Southeastern,ORP,6,1868,C, _51.3741 ,0.0885
"PaddingtonLondon station, London, UK",Westminster,Network Rail,PAD,1,1838,A, _51.5171 ,-0.1769
"Palmers Green station, London, UK",Enfield,Great Northern,PAL,4,1871,C, _51.6184 ,-0.1102
"Peckham Rye station, London, UK",Southwark,Southern,PMR,2,1864,D, _51.4701 ,-0.0691
"Penge East station, London, UK",Bromley,Southeastern,PNE,4,1862,D, _51.4191 ,-0.0537
"Penge West station, London, UK",Bromley,London Overground,PNW,4,1839,E, _51.4174 ,-0.0606
"Petts Wood station, London, UK",Bromley,Southeastern,PET,5,1928,C, _51.3889 ,0.0742
"Plumstead station, London, UK",Greenwich,Southeastern,PLU,4,1849,D, _51.4897 ,0.0844
"Ponders End station, London, UK",Enfield,Greater Anglia,PON,5,1840,C, _51.6420 ,-0.0349
"Purfleet station, London, UK",Thurrockout-boundary,c2c,PFL,G,1854,D, _51.4810 ,0.2370
"Purley station, London, UK",Croydon,Southern,PUR,6,1841,C, _51.3377 ,-0.1135
"Purley Oaks station, London, UK",Croydon,Southern,PUO,6,1899,D, _51.3469 ,-0.0987
"Putney station, London, UK",Wandsworth,South Western Railway,PUT,02-Mar,1844,C, _51.4611 ,-0.2162
"Queen's Park station, London, UK",Brent,London Underground,QPW,2,1879,C, _51.5341 ,-0.2053
"Queens Road Peckham station, London, UK",Southwark,Southern,QRP,2,1866,E, _51.4736 ,-0.0573
"Queenstown Road (Battersea) station, London, UK",Wandsworth,South Western Railway,QRB,2,1877,F, _51.4748 ,-0.1470
"Rainham station, London, UK",Havering,c2c,RNM,6,1854,C, _51.5169 ,0.1905
"Ravensbourne station, London, UK",Bromley,Southeastern,RVB,4,1892,E, _51.4141 ,-0.0075
"Raynes Park station, London, UK",Merton,South Western Railway,RAY,4,1838,C, _51.4094 ,-0.2299
"Rectory Road station, London, UK",Hackney,London Overground,REC,2,1872,E, _51.5584 ,-0.0681
"Reedham station, London, UK",Croydon,Southern,RHM,6,1911,E, _51.3313 ,-0.1233
"Richmond station, London, UK",Richmond upon Thames,South Western Railway,RMD,4,1846,B, _51.4630 ,-0.3014
"Rickmansworth station, London, UK",Three Riversout-boundary,London Underground,RIC,7,1887,unlisted, _51.6402 ,-0.4733
"Riddlesdown station, London, UK",Croydon,Southern,RDD,6,1927,E, _51.3323 ,-0.0996
"Romford station, London, UK",Havering,Elizabeth line,RMF,6,1839,C, _51.5749 ,0.1827
"Rotherhithe station, London, UK",Southwark,London Overground,ROE,2,1869,unlisted, _51.5008 ,-0.0522
"St Helier station, London, UK",Merton,Thameslink,SIH,4,1930,F, _51.3901 ,-0.1985
"St James Street station, London, UK",Waltham Forest,London Overground,SJS,3,1870,D, _51.5810 ,-0.0323
"St Johns station, London, UK",Lewisham,Southeastern,SAJ,2,1849,E, _51.4691 ,-0.0225
"St Margarets station, London, UK",Richmond upon Thames,South Western Railway,SMG,4,1876,C, _51.4550 ,-0.3204
"St Mary Cray station, London, UK",Bromley,Southeastern,SMY,6,1858,C, _51.3947 ,0.1058
"St PancrasLondon station, London, UK",Camden,Network Rail/Eurostar,STP,1,1868,A/Cd, _51.5314 ,-0.1261
"Sanderstead station, London, UK",Croydon,Southern,SNR,6,1884,D, _51.3484 ,-0.0940
"Selhurst station, London, UK",Croydon,Southern,SRS,4,1865,D, _51.3921 ,-0.0883
