Links,Address,Description,Price,Borough
https://www.rightmove.co.uk/properties/125164862#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£4,117 pcm",['City of London']
https://www.rightmove.co.uk/properties/125027900#/?channel=RES_LET,"Cousin Lane, London, EC4R",2 bedroom apartment,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/125027468#/?channel=RES_LET,"Lower Thames Street, London, EC3R",1 bedroom apartment,"£6,067 pcm",['City of London']
https://www.rightmove.co.uk/properties/124986497#/?channel=RES_LET,"Upper Thames Street, London, EC4R",2 bedroom apartment,"£6,933 pcm",['City of London']
https://www.rightmove.co.uk/properties/124985645#/?channel=RES_LET,"College Hill, London, EC4R",1 bedroom apartment,"£5,200 pcm",['City of London']
https://www.rightmove.co.uk/properties/124984733#/?channel=RES_LET,"College Hill, London, EC4R",Studio flat,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925613#/?channel=RES_LET,Bow Lane London EC4M,Studio flat,"£4,117 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925436#/?channel=RES_LET,Lower Thames Street London EC3R,1 bedroom apartment,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925268#/?channel=RES_LET,Lower Thames Street London EC3R,1 bedroom apartment,"£6,067 pcm",['City of London']
https://www.rightmove.co.uk/properties/123925169#/?channel=RES_LET,Lower Thames Street London EC3R,Studio apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/127861310#/?channel=RES_LET,"Abbott's Chambers, 202 Bishopsgate, London, EC2M 4NR",1 bedroom flat,"£2,600 pcm",['City of London']
https://www.rightmove.co.uk/properties/123674876#/?channel=RES_LET,"Three Quays Apartments, 40 Lower Thames Street, London, EC3R",2 bedroom apartment,"£9,533 pcm",['City of London']
https://www.rightmove.co.uk/properties/123649199#/?channel=RES_LET,"Lower Thames Street, London, EC3R",1 bedroom flat,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/123646064#/?channel=RES_LET,"Calico House, 42 Bow Lane, London, EC4M",Studio apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/123279071#/?channel=RES_LET,"Minories, London, EC3N",1 bedroom apartment,"£3,033 pcm",['City of London']
https://www.rightmove.co.uk/properties/84868017#/?channel=RES_LET,"Fann Street, Barbican",3 bedroom flat,"£5,750 pcm",['City of London']
https://www.rightmove.co.uk/properties/85134273#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£5,157 pcm",['City of London']
https://www.rightmove.co.uk/properties/123059714#/?channel=RES_LET,"College Hill, London, EC4R",1 bedroom flat,"£3,900 pcm",['City of London']
https://www.rightmove.co.uk/properties/123057935#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£3,250 pcm",['City of London']
https://www.rightmove.co.uk/properties/120887234#/?channel=RES_LET,"Lower Thames Street, London, EC3R",Studio flat,"£5,590 pcm",['City of London']
https://www.rightmove.co.uk/properties/127053707#/?channel=RES_LET,"Essex Street, Strand",3 bedroom flat,"£13,433 pcm",['City of London']
https://www.rightmove.co.uk/properties/120085640#/?channel=RES_LET,"Lower Thames Street, London, EC3R",1 bedroom apartment,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/119537093#/?channel=RES_LET,"Creechurch Lane, London, EC3A",1 bedroom property,"£3,467 pcm",['City of London']
https://www.rightmove.co.uk/properties/126246707#/?channel=RES_LET,"Lower Thames Street, Tower Hill, London EC3R",1 bedroom apartment,"£5,200 pcm",['City of London']
https://www.rightmove.co.uk/properties/127076603#/?channel=RES_LET,"Cheval Calico House, London, EC4M",1 bedroom flat,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/115212455#/?channel=RES_LET,"Lower Thames Street, EC3",1 bedroom apartment,"£5,157 pcm",['City of London']
https://www.rightmove.co.uk/properties/124583474#/?channel=RES_LET,"Bow Lane, London",1 bedroom apartment,"£3,683 pcm",['City of London']
https://www.rightmove.co.uk/properties/114719600#/?channel=RES_LET,"Lower Thames Street, London",2 bedroom apartment,"£8,450 pcm",['City of London']
https://www.rightmove.co.uk/properties/82426664#/?channel=RES_LET,"Milton House, Little Britain, St Paul's, EC1A",Parking,£217 pcm,['City of London']
https://www.rightmove.co.uk/properties/126246704#/?channel=RES_LET,"Calico House, Bow Lane, London EC4M",1 bedroom apartment,"£3,467 pcm",['City of London']
https://www.rightmove.co.uk/properties/126246719#/?channel=RES_LET,"Three Quays, Lower Thames Street, Tower Hill, London EC3R",Studio apartment,"£5,633 pcm",['City of London']
https://www.rightmove.co.uk/properties/70770759#/?channel=RES_LET,"Sir John Lyon House, 8 High Timber Street, London, EC4V",3 bedroom apartment,"£7,800 pcm",['City of London']
https://www.rightmove.co.uk/properties/127677509#/?channel=RES_LET,"Second Avenue, Dagenham",3 bedroom terraced house,"£1,700 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127927133#/?channel=RES_LET,"Winifred Road, Dagenham, RM8",3 bedroom terraced house,"£1,650 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127925765#/?channel=RES_LET,"East Street, Barking,",1 bedroom flat,"£1,300 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127924733#/?channel=RES_LET,"Schrier, Ropeworks, 1 Arboretum Place, Barking, Essex, IG11",2 bedroom apartment,"£1,400 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127919156#/?channel=RES_LET,"New Enterprise House, 149-151 High Road, Chadwell Heath, Romford, RM6",1 bedroom apartment,"£1,250 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127917596#/?channel=RES_LET,"Enterprise House, 149 - 151 High Road, Romford, Essex, RM6",1 bedroom apartment,"£1,250 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127916666#/?channel=RES_LET,"Central House, Barking, IG11",2 bedroom flat,"£1,650 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127905179#/?channel=RES_LET,"Gorseway, Romford",3 bedroom terraced house,"£1,700 pcm",['Barking and Dagenham']
https://www.rightmove.co.uk/properties/127906565#/?channel=RES_LET,"Kenneth Road, Chadwell Heath, Romford, RM6",2 bedroom terraced house,"£1,500 pcm",['Barking and Dagenham']
