,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
145,"Hanwell station, London, UK",Ealing,Elizabeth line,HAN,4,1839,E,51°30′42″N 0°20′20″W﻿ / ﻿51.5116°N 0.3389°W
146,"Harlesden station, London, UK",Brent,London Underground,HDN,3,1912,E,51°32′11″N 0°15′29″W﻿ / ﻿51.5363°N 0.2581°W
147,"Harold Wood station, London, UK",Havering,Elizabeth line,HRO,6,1868,C,51°35′34″N 0°14′03″E﻿ / ﻿51.5928°N 0.2343°E
148,"Harringay station, London, UK",Haringey,Great Northern,HGY,3,1865,D,51°34′37″N 0°06′19″W﻿ / ﻿51.5770°N 0.1052°W
149,"Harringay Green Lanes station, London, UK",Haringey,London Overground,HRY,3,1880,E,51°34′39″N 0°05′52″W﻿ / ﻿51.5774°N 0.0977°W
150,"Harrow & Wealdstone station, London, UK",Harrow,London Underground,HRW,5,1837,C,51°35′32″N 0°20′05″W﻿ / ﻿51.5921°N 0.3347°W
151,"Harrow-on-the-Hill station, London, UK",Harrow,London Underground,HOH,5,1880,unlisted,51°34′46″N 0°20′13″W﻿ / ﻿51.5794°N 0.3370°W
152,"Hatch End station, London, UK",Harrow,London Overground,HTE,6,1844,E,51°36′35″N 0°22′06″W﻿ / ﻿51.6097°N 0.3682°W
153,"Haydons Road station, London, UK",Merton,Thameslink,HYR,3,1868,E,51°25′32″N 0°11′17″W﻿ / ﻿51.4255°N 0.1880°W
154,"Hayes station, London, UK",Bromley,Southeastern,HYS,5,1882,D,51°22′35″N 0°00′37″E﻿ / ﻿51.3765°N 0.0102°E
155,"Hayes & Harlington station, London, UK",Hillingdon,Elizabeth line,HAY,5,1864,D,51°30′11″N 0°25′13″W﻿ / ﻿51.5031°N 0.4203°W
156,"Headstone Lane station, London, UK",Harrow,London Overground,HDL,5,1917,E,51°36′07″N 0°21′24″W﻿ / ﻿51.6019°N 0.3566°W
157,"Heathrow Central station, London, UK",Hillingdon,Heathrow Express,HXX,6,1999,unlisted,51°28′16″N 0°27′14″W﻿ / ﻿51.4710°N 0.4540°W
158,"Heathrow Terminal 4 station, London, UK",Hillingdon,Heathrow Express,HAF,6,1999,unlisted,51°27′29″N 0°26′42″W﻿ / ﻿51.4580°N 0.4450°W
159,"Heathrow Terminal 5 station, London, UK",Hillingdon,Heathrow Express,HWV,6,2008,unlisted,51°28′20″N 0°29′17″W﻿ / ﻿51.4723°N 0.4880°W
160,"Hendon station, London, UK",Barnet,Thameslink,HEN,3/4,1868,E,51°34′48″N 0°14′20″W﻿ / ﻿51.5800°N 0.2389°W
161,"Herne Hill station, London, UK",Lambeth,Southeastern,HNH,2/3,1862,C,51°27′12″N 0°06′08″W﻿ / ﻿51.4533°N 0.1021°W
162,"Highams Park station, London, UK",Waltham Forest,London Overground,HIP,4,1873,C,51°36′30″N 0°00′00″W﻿ / ﻿51.6084°N 0.0001°W
163,"Highbury & Islington station, London, UK",Islington,London Underground,HHY,2,1872,C/Fe,51°32′45″N 0°06′18″W﻿ / ﻿51.5458°N 0.1050°W
164,"Hither Green station, London, UK",Lewisham,Southeastern,HGR,3,1866,C,51°27′07″N 0°00′03″W﻿ / ﻿51.4519°N 0.0008°W
165,"Homerton station, London, UK",Hackney,London Overground,HMN,2,1868,E,51°32′49″N 0°02′35″W﻿ / ﻿51.5470°N 0.0431°W
166,"Honor Oak Park station, London, UK",Lewisham,London Overground,HPA,3,1886,D,51°27′00″N 0°02′44″W﻿ / ﻿51.4501°N 0.0456°W
167,"Hornsey station, London, UK",Haringey,Great Northern,HRN,3,1850,D,51°35′10″N 0°06′42″W﻿ / ﻿51.5862°N 0.1116°W
168,"Hounslow station, London, UK",Hounslow,South Western Railway,HOU,5,1849,D,51°27′43″N 0°21′44″W﻿ / ﻿51.4620°N 0.3622°W
169,"Hoxton station, London, UK",Hackney,London Overground,HOX,1/2,2010,unlisted,51°31′54″N 0°04′31″W﻿ / ﻿51.5318°N 0.0754°W
170,"Ilford station, London, UK",Redbridge,Elizabeth line,IFD,4,1839,C,51°33′31″N 0°04′11″E﻿ / ﻿51.5586°N 0.0696°E
171,"Imperial Wharf station, London, UK",Hammersmith and Fulham,London Overground,IMW,2,2009,E,51°28′30″N 0°10′58″W﻿ / ﻿51.4751°N 0.1828°W
172,"Isleworth station, London, UK",Hounslow,South Western Railway,ISL,4,1850,F,51°28′30″N 0°20′13″W﻿ / ﻿51.4749°N 0.3370°W
173,"Kenley station, London, UK",Croydon,Southern,KLY,6,1856,E,51°19′29″N 0°06′03″W﻿ / ﻿51.3246°N 0.1007°W
